,No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
518,1349,2012-01-25 12:15:00,2012-01-24 12:12:00,42,1.2 - 3.5 µm,45.475,1.0107,0.0122,0.078,0.1466,1.0606,1.8595,0.5643,1.7806,0.0366,0.0036,0.745,0.019,0.764,1725.1,78.859,2.374,1.933,16.219,943.77,0.869,0.72,1.757,1.28,0.0015,0.116,24.185,1.681,13.736,4.094,4.717
519,1350,2012-01-25 12:15:00,2012-01-24 12:12:00,42,3.5 - 10 µm,44.105,1.848,0.0091,0.1017,0.2191,1.0223,3.6246,0.3187,2.0102,0.0274,0.0104,0.927,0.057,0.984,2200.1,94.862,2.687,2.069,18.422,989.3,0.86,0.696,2.104,1.481,0.0015,0.0005,27.203,2.25,10.913,4.907,4.383
520,1401,2012-01-26 11:35:00,2012-01-25 13:25:00,42,0.05 - 0.14 µm,0.205,0.0024,0.0096,0.0003,0.0008,0.016,0.0121,0.0038,0.0496,0.0003,0.0001,0.06,0.0,0.06,6.83,0.442,0.108,0.344,0.088,5.98,0.094,0.158,0.285,0.056,0.011,0.002,0.129,0.0024,0.0024,0.0018,0.003
521,1402,2012-01-26 11:35:00,2012-01-25 13:25:00,42,0.14 - 0.42 µm,1.076,0.0065,0.1013,0.0059,0.0019,0.0241,0.0109,0.0051,0.3472,0.0033,0.0151,0.083,0.024,0.107,11.78,1.167,0.696,0.53,0.172,12.02,0.311,0.144,0.533,0.469,0.248,0.036,0.245,0.033,0.069,0.0018,0.003
522,1403,2012-01-26 11:35:00,2012-01-25 13:25:00,42,0.42 - 1.2 µm,3.356,0.1961,0.0023,0.012,0.0216,0.0827,0.2016,0.1031,0.2875,0.0012,0.0001,0.013,0.028,0.042,83.48,7.127,0.469,0.678,1.397,79.61,0.117,0.121,0.875,0.627,0.127,0.091,1.585,0.11,1.751,0.417,0.465
523,1404,2012-01-26 11:35:00,2012-01-25 13:25:00,42,1.2 - 3.5 µm,18.442,1.6803,0.0063,0.0619,0.112,0.5511,2.4871,0.7451,0.9157,0.0152,0.0001,0.323,0.014,0.337,678.21,93.183,2.978,1.766,8.503,685.16,0.851,1.082,2.609,0.772,1.393,0.142,10.135,0.972,9.492,7.723,1.88
524,1405,2012-01-26 11:35:00,2012-01-25 13:25:00,42,3.5 - 10 µm,19.234,2.4569,0.0111,0.0803,0.1306,0.5687,3.7229,0.4728,0.9515,0.0062,0.0048,0.277,0.017,0.294,411.91,57.803,1.035,1.528,4.899,513.59,0.549,0.689,1.423,0.411,0.559,0.0005,5.9,1.084,6.292,3.851,1.305
525,1406,2012-01-27 11:33:00,2012-01-26 12:16:00,42,0.05 - 0.14 µm,0.184,0.0007,0.0135,0.0003,0.0017,0.0118,0.0088,0.0028,0.047,0.0001,0.0014,0.033,0.002,0.035,15.09,2.207,0.19,0.43,0.154,21.11,0.041,0.052,0.29,0.179,0.032,0.0005,0.402,0.019,0.209,0.0018,0.026
526,1407,2012-01-27 11:33:00,2012-01-26 12:16:00,42,0.14 - 0.42 µm,0.873,0.009,0.0952,0.0051,0.0038,0.024,0.0165,0.0042,0.3158,0.0024,0.0001,0.128,0.103,0.231,7.54,1.78,1.03,0.774,0.127,15.61,0.402,0.105,0.536,0.528,0.108,0.063,0.241,0.034,0.0024,0.0018,0.003
527,1408,2012-01-27 11:33:00,2012-01-26 12:16:00,42,0.42 - 1.2 µm,2.293,0.2043,0.0017,0.0103,0.021,0.0527,0.2113,0.0845,0.2363,0.0013,0.002,0.063,0.042,0.105,74.94,12.161,0.675,0.984,1.646,123.11,0.129,0.098,1.07,0.79,0.249,0.138,1.788,0.148,1.83,0.0018,0.502
528,1409,2012-01-27 11:33:00,2012-01-26 12:16:00,42,1.2 - 3.5 µm,12.878,1.3191,0.0035,0.0513,0.0993,0.2882,1.9538,0.6597,0.5391,0.0086,0.0016,0.242,0.0,0.242,160.72,7.929,0.167,0.226,1.955,100.89,0.124,0.358,0.677,0.295,0.0,0.093,2.534,0.159,0.0024,0.0018,0.003
529,1410,2012-01-27 11:33:00,2012-01-26 12:16:00,42,3.5 - 10 µm,16.715,2.5453,0.0061,0.0974,0.1473,0.387,3.7552,0.4526,0.7638,0.0048,0.0047,0.278,0.0,0.278,256.84,22.085,0.699,1.487,2.578,219.72,0.466,0.273,0.677,0.334,0.486,0.019,3.887,0.433,2.11,2.437,0.632
530,1411,2012-01-28 11:30:00,2012-01-27 12:12:00,42,0.05 - 0.14 µm,0.149,0.0021,0.006,0.0003,0.004,0.0147,0.0146,0.0033,0.0359,0.0001,0.0011,0.013,0.044,0.057,3.85,0.147,0.066,0.476,0.0048,1.93,0.085,0.082,0.169,0.061,0.019,0.002,0.114,0.0024,0.0024,0.0018,0.003
531,1412,2012-01-28 11:30:00,2012-01-27 12:12:00,42,0.14 - 0.42 µm,0.079,0.0033,0.0702,0.0013,0.0023,0.0164,0.0103,0.0042,0.24,0.0014,0.0029,0.081,0.055,0.137,5.09,0.799,0.562,0.231,0.024,5.82,0.256,0.112,0.351,0.273,0.131,0.025,0.121,0.007,0.005,0.0018,0.003
532,1413,2012-01-28 11:30:00,2012-01-27 12:12:00,42,0.42 - 1.2 µm,1.895,0.2039,0.0003,0.0081,0.021,0.0577,0.194,0.0944,0.1982,0.0015,0.0021,0.056,0.002,0.059,48.93,7.892,0.35,1.044,1.152,81.42,0.071,0.06,0.734,0.418,0.149,0.124,1.179,0.117,1.885,0.0018,0.109
533,1414,2012-01-28 11:30:00,2012-01-27 12:12:00,42,1.2 - 3.5 µm,11.46,1.4239,0.0022,0.0534,0.1125,0.2359,2.0047,0.6869,0.4893,0.0105,0.0482,0.213,0.043,0.256,382.37,27.562,1.152,1.231,5.365,305.32,0.387,0.314,0.833,0.246,1.165,0.322,6.273,0.491,5.187,1.536,0.78
534,1415,2012-01-28 11:30:00,2012-01-27 12:12:00,42,3.5 - 10 µm,14.174,2.5166,0.0032,0.0771,0.1388,0.3211,3.3522,0.4409,0.6264,0.0065,0.0073,0.19,0.0,0.19,215.1,10.036,0.43,0.368,1.595,111.58,0.139,0.144,0.231,0.072,0.442,0.028,3.141,0.201,1.496,0.696,0.356
535,1416,2012-01-30 11:30:00,2012-01-28 12:19:00,42,0.05 - 0.14 µm,0.135,0.0003,0.0105,0.0003,0.0024,0.0102,0.0051,0.0015,0.0504,0.0002,0.0001,0.01,0.0,0.01,7.18,0.321,0.175,0.199,0.0048,3.17,0.059,0.024,0.135,0.054,0.009,0.001,0.152,0.0024,0.0024,0.0018,0.003
536,1417,2012-01-30 11:30:00,2012-01-28 12:19:00,42,0.14 - 0.42 µm,1.039,0.0093,0.1433,0.0064,0.0037,0.0212,0.0139,0.0027,0.3843,0.0077,0.0002,0.081,0.087,0.168,3.19,0.418,0.915,0.529,0.046,3.48,0.392,0.077,0.427,0.413,0.065,0.049,0.068,0.015,0.0024,0.0018,0.003
537,1418,2012-01-30 11:30:00,2012-01-28 12:19:00,42,0.42 - 1.2 µm,1.887,0.1336,0.0089,0.0111,0.0142,0.0257,0.0469,0.044,0.2808,0.0017,0.0007,0.082,0.066,0.148,20.71,3.096,0.359,0.24,0.63,32.08,0.149,0.084,0.796,0.293,0.092,0.098,0.473,0.063,0.897,0.0018,0.099
538,1419,2012-01-30 11:30:00,2012-01-28 12:19:00,42,1.2 - 3.5 µm,9.848,0.9035,0.0003,0.0418,0.0711,0.1655,1.1837,0.7194,0.3716,0.0217,0.0001,0.176,0.0,0.176,164.95,10.53,0.359,0.524,2.976,128.57,0.122,0.155,0.463,0.12,0.029,0.19,2.659,0.221,3.449,0.0018,0.496
539,1420,2012-01-30 11:30:00,2012-01-28 12:19:00,42,3.5 - 10 µm,11.563,1.6983,0.003,0.0528,0.0852,0.2222,2.34,0.5373,0.4589,0.0095,0.0033,0.167,0.024,0.191,158.11,11.97,0.271,0.328,2.32,125.19,0.144,0.117,0.286,0.195,0.056,0.032,2.621,0.277,2.563,0.258,0.42
540,1421,2012-01-31 11:34:00,2012-01-30 12:14:00,42,0.05 - 0.14 µm,0.235,0.0065,0.0031,0.0003,0.0062,0.0235,0.0247,0.0151,0.0608,0.0001,0.0012,0.121,0.008,0.13,8.03,0.818,0.0018,0.578,0.0048,6.63,0.034,0.024,0.294,0.036,0.0015,0.0005,0.215,0.0024,0.0024,0.0018,0.018
541,1422,2012-01-31 11:34:00,2012-01-30 12:14:00,42,0.14 - 0.42 µm,1.392,0.0023,0.1588,0.0036,0.0067,0.0364,0.0083,0.0031,0.5163,0.0089,0.0017,0.078,0.026,0.104,3.18,0.119,0.882,0.268,0.0048,1.48,0.425,0.132,0.528,0.409,0.073,0.058,0.073,0.012,0.0024,0.0018,0.003
542,1423,2012-01-31 11:34:00,2012-01-30 12:14:00,42,0.42 - 1.2 µm,1.457,0.1775,0.0003,0.0122,0.0194,0.0261,0.0729,0.0694,0.3601,0.0022,0.0036,0.133,0.028,0.161,16.6,0.851,0.275,0.607,0.182,10.25,0.258,0.442,0.98,0.455,0.073,0.075,0.325,0.023,0.01,0.0018,0.003
543,1424,2012-01-31 11:34:00,2012-01-30 12:14:00,42,1.2 - 3.5 µm,7.201,1.3578,0.0056,0.0437,0.0951,0.1337,1.679,0.6894,0.3333,0.0154,0.0001,0.14,0.0,0.14,92.35,2.229,0.0018,0.604,0.718,38.59,0.087,0.156,0.373,0.174,0.0015,0.149,1.616,0.052,0.0024,0.0018,0.003
544,1425,2012-01-31 11:34:00,2012-01-30 12:14:00,42,3.5 - 10 µm,7.123,1.3849,0.0036,0.0459,0.1015,0.1172,2.0293,0.404,0.3462,0.0033,0.0001,0.134,0.023,0.157,100.28,2.92,0.024,0.201,0.492,32.18,0.05,0.061,0.339,0.087,0.003,0.026,1.656,0.048,0.0024,0.0018,0.003
545,1426,2012-02-01 11:44:00,2012-01-31 12:17:00,42,0.05 - 0.14 µm,0.13,0.0003,0.0211,0.0003,0.0055,0.0232,0.0148,0.0043,0.0537,0.0004,0.0012,0.0,0.0,0.0,4.7,0.147,0.005,0.208,0.0048,1.35,0.028,0.064,0.172,0.09,0.029,0.0005,0.138,0.0024,0.0024,0.0018,0.003
546,1427,2012-02-01 11:44:00,2012-01-31 12:17:00,42,0.14 - 0.42 µm,1.521,0.0028,0.1713,0.0032,0.0069,0.0354,0.0086,0.0032,0.5768,0.0135,0.0,0.121,0.021,0.142,3.01,0.266,0.681,0.266,0.048,4.08,0.392,0.107,0.444,0.52,0.222,0.034,0.09,0.018,0.0024,0.0018,0.003
547,1428,2012-02-01 11:44:00,2012-01-31 12:17:00,42,0.42 - 1.2 µm,1.022,0.2129,0.0085,0.0144,0.019,0.026,0.0797,0.0278,0.3189,0.0055,0.0012,0.108,0.024,0.132,9.01,0.646,0.114,0.178,0.027,6.21,0.079,0.068,0.611,0.609,0.221,0.044,0.229,0.05,0.0024,0.0018,0.003
548,1429,2012-02-01 11:44:00,2012-01-31 12:17:00,42,1.2 - 3.5 µm,5.449,0.8759,0.0003,0.0359,0.0875,0.0443,1.2226,0.362,0.2274,0.0141,0.0001,0.073,0.011,0.085,60.17,1.708,0.0018,0.184,0.215,31.3,0.155,0.102,0.351,0.051,1.096,0.116,1.218,0.043,0.0024,0.0018,0.003
549,1430,2012-02-01 11:44:00,2012-01-31 12:17:00,42,3.5 - 10 µm,6.348,1.4674,0.0074,0.0665,0.127,0.127,2.0656,0.5601,0.3437,0.0072,0.0012,0.169,0.017,0.186,56.82,1.499,0.0018,0.093,0.212,20.51,0.061,0.054,0.108,0.048,0.425,0.016,1.291,0.041,0.0024,0.0018,0.003
550,1431,2012-02-02 12:49:00,2012-02-01 12:18:00,42,0.05 - 0.14 µm,0.116,0.0038,0.022,0.0003,0.0031,0.0058,0.0151,0.0034,0.0637,0.0001,0.0141,0.05,0.001,0.051,4.02,0.028,0.079,0.185,0.0048,0.6,0.053,0.063,0.133,0.031,0.0015,0.003,0.068,0.0024,0.0024,0.0018,0.003
551,1432,2012-02-02 12:49:00,2012-02-01 12:18:00,42,0.14 - 0.42 µm,1.383,0.0038,0.1597,0.0069,0.0064,0.0686,0.0077,0.0037,0.5566,0.0108,0.0007,0.096,0.097,0.193,1.67,0.069,0.962,0.16,0.0048,1.01,0.496,0.096,0.623,0.852,0.074,0.067,0.063,0.018,0.009,0.0018,0.003
552,1433,2012-02-02 12:49:00,2012-02-01 12:18:00,42,0.42 - 1.2 µm,2.286,0.1612,0.0003,0.0124,0.0155,0.0139,0.1573,0.0338,0.178,0.0004,0.0026,0.034,0.002,0.036,49.8,5.005,1.458,1.326,0.576,49.58,0.267,0.078,3.036,5.451,0.043,0.376,1.343,0.054,0.0024,0.0018,0.003
553,1434,2012-02-02 12:49:00,2012-02-01 12:18:00,42,1.2 - 3.5 µm,8.381,1.7288,0.0049,0.0547,0.1134,0.1609,2.4004,0.7523,0.5209,0.02,0.0001,0.179,0.0,0.179,103.2,3.668,0.011,0.092,0.638,50.29,0.066,0.082,0.438,0.206,0.0015,0.162,1.86,0.079,0.0024,0.0018,0.003
554,1435,2012-02-02 12:49:00,2012-02-01 12:18:00,42,3.5 - 10 µm,8.771,1.9616,0.0031,0.0605,0.1192,0.1556,2.6349,0.4473,0.4409,0.0027,0.0003,0.127,0.0,0.127,91.82,6.319,0.178,0.325,0.655,64.81,0.081,0.08,0.203,0.05,0.008,0.029,1.491,0.138,1.096,0.0018,0.099
555,1436,2012-02-03 11:58:00,2012-02-02 13:16:00,42,0.05 - 0.14 µm,0.074,0.0021,0.0225,0.0003,0.0043,0.0167,0.0115,0.0034,0.0773,0.0004,0.0016,0.106,0.0,0.106,5.85,0.339,0.222,1.066,0.0048,1.62,0.086,0.024,0.377,0.14,0.01,0.0005,0.522,0.0024,0.0024,0.0018,0.003
556,1437,2012-02-03 11:58:00,2012-02-02 13:16:00,42,0.14 - 0.42 µm,1.804,0.0058,0.292,0.0154,0.0064,0.0214,0.0065,0.0043,0.7454,0.0154,0.0017,0.024,0.104,0.128,3.77,0.369,2.359,0.626,0.034,4.1,1.191,0.18,1.195,1.85,0.11,0.147,0.125,0.022,0.252,0.019,0.003
557,1438,2012-02-03 11:58:00,2012-02-02 13:16:00,42,0.42 - 1.2 µm,4.457,0.2384,0.0016,0.0223,0.0233,0.0418,0.2099,0.0451,0.2605,0.0001,0.0022,0.274,0.009,0.283,51.21,9.509,0.772,0.527,1.644,100.65,0.312,0.152,1.909,1.804,0.192,0.165,1.506,0.162,2.775,0.326,0.445
558,1439,2012-02-03 11:58:00,2012-02-02 13:16:00,42,1.2 - 3.5 µm,15.889,0.549,0.0043,0.0779,0.1375,0.0795,0.8522,0.397,0.2199,0.014,0.0029,0.174,0.011,0.185,261.29,23.238,0.766,1.085,4.668,288.55,0.316,0.265,0.958,0.375,0.108,0.208,4.861,0.454,5.717,0.319,0.996
559,1440,2012-02-03 11:58:00,2012-02-02 13:16:00,42,3.5 - 10 µm,13.42,1.7432,0.0037,0.0726,0.1251,0.2363,2.5624,0.584,0.5312,0.0056,0.0002,0.176,0.0,0.176,239.03,30.148,0.614,0.801,3.744,298.88,0.356,0.249,0.66,0.264,0.094,0.026,4.567,0.617,4.674,0.739,0.872
560,1441,2012-02-04 12:49:00,2012-02-03 12:36:00,42,0.05 - 0.14 µm,0.142,0.0069,0.019,0.0006,0.0029,0.0205,0.0167,0.0035,0.0721,0.0002,0.0001,0.014,0.0,0.014,1.67,0.015,0.081,0.14,0.0048,0.41,0.088,0.183,0.115,0.029,0.0015,0.0005,0.048,0.0024,0.0024,0.0018,0.003
561,1442,2012-02-04 12:49:00,2012-02-03 12:36:00,42,0.14 - 0.42 µm,1.37,0.0149,0.17,0.0109,0.0053,0.0338,0.0099,0.0048,0.6549,0.0106,0.0007,0.045,0.063,0.108,4.13,0.994,1.593,0.372,0.118,9.62,0.672,1.371,0.454,0.288,0.373,0.056,0.154,0.049,0.022,0.371,0.031
562,1443,2012-02-04 12:49:00,2012-02-03 12:36:00,42,0.42 - 1.2 µm,4.867,0.2632,0.0056,0.0282,0.0288,0.0516,0.3093,0.0471,0.1359,0.0008,0.0008,0.182,0.012,0.194,65.15,7.745,0.575,0.375,1.509,102.76,0.172,2.48,0.636,0.171,0.308,0.126,1.684,0.184,2.664,1.765,0.265
563,1444,2012-02-04 12:49:00,2012-02-03 12:36:00,42,1.2 - 3.5 µm,21.637,2.3103,0.0127,0.0834,0.1526,0.3158,3.9326,0.7636,0.3339,0.0008,0.0035,0.395,0.005,0.4,326.84,8.022,0.666,0.462,2.942,153.64,0.251,3.43,0.34,0.179,3.036,0.145,4.413,0.224,2.964,0.657,0.329
564,1445,2012-02-04 12:49:00,2012-02-03 12:36:00,42,3.5 - 10 µm,19.606,2.3942,0.0165,0.0808,0.1498,0.3214,4.1492,0.3601,0.3188,0.0012,0.0053,0.444,0.01,0.454,310.23,12.869,0.414,0.457,2.078,147.75,0.191,1.417,0.289,0.097,1.191,0.023,3.567,0.282,2.767,2.068,0.489
565,1446,2012-02-06 12:02:00,2012-02-04 13:26:00,42,0.05 - 0.14 µm,0.221,0.0019,0.0085,0.0003,0.0012,0.0851,0.0044,0.0027,0.0368,0.0009,0.0001,0.008,0.0,0.008,3.84,0.131,0.083,0.083,0.017,1.76,0.05,0.048,0.072,0.024,0.009,0.001,0.044,0.0024,0.0024,0.0018,0.003
566,1447,2012-02-06 12:02:00,2012-02-04 13:26:00,42,0.14 - 0.42 µm,1.839,0.0219,0.1463,0.0113,0.0059,0.0604,0.0054,0.0059,0.623,0.0129,0.0017,0.084,0.011,0.095,33.94,0.622,0.741,0.101,0.307,10.95,0.279,0.085,0.662,0.272,0.087,0.035,0.236,0.03,0.437,0.0018,0.054
567,1448,2012-02-06 12:02:00,2012-02-04 13:26:00,42,0.42 - 1.2 µm,9.063,0.2741,0.0024,0.0206,0.0346,0.2789,0.3836,0.1563,0.516,0.0331,0.0023,0.245,0.036,0.281,343.95,9.564,0.447,0.455,2.365,130.73,0.196,0.168,1.191,0.557,0.149,0.083,2.2,0.233,2.679,0.0018,0.433
568,1449,2012-02-06 12:02:00,2012-02-04 13:26:00,42,1.2 - 3.5 µm,54.197,2.3505,0.0102,0.0928,0.1449,0.4254,4.0887,0.8648,1.3365,0.0419,0.0063,0.807,0.055,0.862,1980.49,57.946,2.177,1.789,12.569,813.51,0.655,0.581,1.87,1.292,0.0015,0.115,12.881,1.671,15.707,0.0018,2.576
569,1450,2012-02-06 12:02:00,2012-02-04 13:26:00,42,3.5 - 10 µm,48.853,2.6935,0.0082,0.0934,0.1461,0.3766,4.7704,0.3802,1.3285,0.0383,0.0091,0.821,0.137,0.957,2239.11,80.196,3.026,2.574,15.547,1095.08,0.903,0.829,3.247,1.507,0.0015,0.0005,17.393,2.685,15.504,2.418,3.594
570,1451,2012-02-06 19:12:00,2012-02-06 12:38:00,42,0.05 - 0.14 µm,1.211,0.0439,0.0277,0.002,0.0102,0.1706,0.074,0.019,0.0723,0.002,0.0001,0.271,0.049,0.321,43.12,5.68,0.028,0.614,0.411,53.44,0.061,0.281,1.116,0.217,0.007,0.0005,0.842,0.069,0.0024,0.0018,0.028
571,1452,2012-02-06 19:12:00,2012-02-06 12:38:00,42,0.14 - 0.42 µm,5.049,0.0536,0.181,0.0152,0.0191,0.2747,0.047,0.0364,0.7931,0.0136,0.0002,0.036,0.0,0.036,89.32,9.5,1.164,1.889,1.614,99.54,0.371,0.569,1.544,1.229,0.263,0.02,1.199,0.153,1.55,0.0018,0.003
572,1453,2012-02-06 19:12:00,2012-02-06 12:38:00,42,0.42 - 1.2 µm,20.069,0.4226,0.041,0.0532,0.0812,0.817,0.5604,0.3351,0.8033,0.0349,0.0021,0.46,0.0,0.46,529.23,65.552,1.29,3.022,9.902,694.67,0.918,1.628,10.777,2.929,0.452,0.059,6.443,1.277,13.717,3.583,1.978
573,1454,2012-02-06 19:12:00,2012-02-06 12:38:00,42,1.2 - 3.5 µm,109.934,2.6615,0.0598,0.2112,0.2742,1.8929,4.3096,1.4345,2.3498,0.1423,0.0022,1.876,0.299,2.175,2540.65,69.287,2.952,2.807,32.953,1118.0,1.053,1.585,3.05,1.378,0.097,0.102,23.343,2.197,24.686,0.173,4.143
574,1455,2012-02-06 19:12:00,2012-02-06 12:38:00,42,3.5 - 10 µm,105.58,3.0316,0.0448,0.1918,0.2862,1.6942,5.1583,0.5983,2.3706,0.0811,0.0041,1.955,0.501,2.456,3308.98,243.527,5.658,6.517,42.504,2758.41,2.488,2.659,5.109,3.412,0.0015,0.0005,35.131,6.561,54.108,11.901,7.74
575,1456,2012-02-07 08:12:00,2012-02-06 19:43:00,42,0.05 - 0.14 µm,5.647,0.035,0.0076,0.0096,0.0115,0.1512,0.0484,0.0162,0.07,0.0015,0.0001,0.163,0.013,0.176,51.96,2.907,0.141,0.238,1.172,42.38,0.125,0.202,0.395,0.139,0.028,0.0005,0.977,0.048,1.921,0.0018,0.113
576,1457,2012-02-07 08:12:00,2012-02-06 19:43:00,42,0.14 - 0.42 µm,14.572,0.0888,0.0355,0.0273,0.0247,0.3121,0.0698,0.03,0.5614,0.0063,0.0001,0.298,0.018,0.316,403.63,77.02,1.222,2.418,13.053,850.86,0.805,0.673,2.0,0.885,0.361,0.0005,9.44,1.287,19.0,4.653,2.337
577,1458,2012-02-07 08:12:00,2012-02-06 19:43:00,42,0.42 - 1.2 µm,43.937,0.1839,0.018,0.0482,0.0437,0.5108,0.2115,0.0773,0.5486,0.01,0.0007,0.425,0.061,0.486,1195.24,189.186,3.985,5.032,40.531,2274.38,1.782,1.72,4.83,2.011,0.43,0.032,28.05,3.574,51.245,13.303,6.37
578,1459,2012-02-07 08:12:00,2012-02-06 19:43:00,42,1.2 - 3.5 µm,475.947,1.3567,0.0461,0.2022,0.119,1.1373,1.6324,0.358,3.3489,0.0533,0.0084,1.343,0.363,1.706,5526.15,1096.313,28.005,24.747,200.92,14664.3,11.134,9.941,24.05,22.071,0.0015,0.0005,151.042,35.291,285.085,91.055,35.965
579,1460,2012-02-07 08:12:00,2012-02-06 19:43:00,42,3.5 - 10 µm,301.549,1.4571,0.0367,0.1534,0.1129,1.0303,1.9795,0.1375,3.0703,0.0409,0.0077,1.692,0.531,2.223,5265.65,993.0,18.047,21.008,153.868,11351.97,8.904,7.996,18.728,16.082,0.0015,0.0005,110.76,30.845,233.824,73.291,26.613
580,1461,2012-02-07 14:14:00,2012-02-07 09:10:00,42,0.05 - 0.14 µm,11.614,0.0914,0.0097,0.0198,0.0242,0.3106,0.1131,0.0275,0.1354,0.0023,0.0001,0.077,0.0,0.077,168.5,24.421,0.619,2.324,4.413,270.2,0.116,0.239,1.382,0.227,0.014,0.0005,3.792,0.387,6.608,0.259,1.068
581,1462,2012-02-07 14:14:00,2012-02-07 09:10:00,42,0.14 - 0.42 µm,29.405,0.125,0.0417,0.0427,0.0476,0.5826,0.114,0.0547,0.58,0.0096,0.0013,0.303,0.017,0.32,660.77,69.341,1.771,6.193,16.769,859.6,0.943,1.101,2.619,0.764,0.453,0.006,13.319,1.252,20.337,3.378,2.971
582,1463,2012-02-07 14:14:00,2012-02-07 09:10:00,42,0.42 - 1.2 µm,40.268,0.223,0.0256,0.0605,0.0566,0.7897,0.2723,0.0744,0.6285,0.0125,0.0001,0.537,0.086,0.623,672.17,79.032,2.046,4.29,16.93,931.94,1.453,1.057,2.473,0.755,0.671,0.03,14.184,1.54,20.866,5.512,3.334
583,1464,2012-02-07 14:14:00,2012-02-07 09:10:00,42,1.2 - 3.5 µm,474.135,1.695,0.0765,0.2911,0.1909,2.3388,1.8966,0.3891,4.5199,0.0906,0.0015,2.869,0.386,3.255,4122.05,433.282,12.8,10.67,106.572,6279.61,6.051,5.246,10.739,7.432,0.0015,0.042,86.407,13.798,103.058,32.437,16.888
584,1465,2012-02-07 14:14:00,2012-02-07 09:10:00,42,3.5 - 10 µm,270.297,2.8129,0.0807,0.3168,0.2395,2.335,3.7779,0.2514,5.8954,0.1261,0.0001,3.115,0.964,4.079,6904.88,1190.47,29.516,26.051,205.884,14817.2,13.806,12.884,26.834,17.628,0.0015,0.0005,157.838,38.4,247.505,80.464,37.63
585,1466,2012-02-07 20:13:00,2012-02-07 14:54:00,42,0.05 - 0.14 µm,8.651,0.1146,0.0078,0.0355,0.02,0.2061,0.1709,0.0389,0.0793,0.0014,0.0012,0.329,0.0,0.329,175.1,35.42,0.993,3.313,6.23,421.9,0.185,0.289,1.188,0.481,0.122,0.0005,4.032,0.694,7.26,0.921,2.148
586,1467,2012-02-07 20:13:00,2012-02-07 14:54:00,42,0.14 - 0.42 µm,23.988,0.2125,0.0515,0.062,0.0457,0.6367,0.207,0.0634,0.9788,0.0093,0.0001,0.343,0.078,0.421,428.5,55.503,1.697,2.729,12.652,665.28,0.756,0.865,2.103,0.939,0.285,0.002,8.424,1.041,14.027,1.988,2.342
587,1468,2012-02-07 20:13:00,2012-02-07 14:54:00,42,0.42 - 1.2 µm,35.377,0.2226,0.0343,0.0549,0.0521,0.6576,0.2512,0.1115,0.5268,0.0105,0.0001,0.816,0.002,0.818,787.5,147.447,2.939,5.637,26.936,1704.73,1.794,1.474,4.029,1.857,0.623,0.012,17.502,2.868,35.198,8.433,4.709
588,1469,2012-02-07 20:13:00,2012-02-07 14:54:00,42,1.2 - 3.5 µm,401.508,1.489,0.1101,0.2875,0.1768,2.2194,1.7774,0.5717,3.4492,0.0864,0.0009,3.209,1.055,4.264,7552.06,1493.37,32.426,35.613,282.025,19348.59,15.176,15.065,31.002,32.492,0.0015,0.0005,175.998,47.495,332.922,106.927,43.87
589,1470,2012-02-07 20:13:00,2012-02-07 14:54:00,42,3.5 - 10 µm,280.926,2.114,0.1023,0.2614,0.1874,2.0268,3.1025,0.262,3.2293,0.073,0.0001,3.55,1.543,5.092,6381.87,785.997,17.221,17.15,144.312,9720.74,7.754,9.081,14.847,14.908,0.0015,0.0005,96.068,24.621,173.747,56.495,26.675
590,1471,2012-02-08 08:06:00,2012-02-07 20:53:00,42,0.05 - 0.14 µm,3.641,0.0277,0.0068,0.0082,0.0088,0.1139,0.052,0.0208,0.0496,0.0011,0.0001,0.237,0.036,0.273,36.24,5.587,0.203,1.683,0.965,60.17,0.099,0.181,0.411,0.114,0.0015,0.0005,0.765,0.075,1.547,0.243,0.312
591,1472,2012-02-08 08:06:00,2012-02-07 20:53:00,42,0.14 - 0.42 µm,9.446,0.0339,0.0405,0.0147,0.0176,0.2036,0.0403,0.0325,0.3196,0.0045,0.0001,0.118,0.0,0.118,90.41,20.307,0.62,2.066,3.45,200.21,0.352,0.348,0.795,0.315,0.107,0.001,2.253,0.278,5.282,1.131,1.094
592,1473,2012-02-08 08:06:00,2012-02-07 20:53:00,42,0.42 - 1.2 µm,27.709,0.1966,0.0172,0.0595,0.0392,0.4352,0.2845,0.127,0.4077,0.0118,0.0013,0.226,0.021,0.247,491.58,76.024,1.671,2.762,16.76,852.54,0.822,0.737,2.075,0.802,0.329,0.018,11.216,1.347,24.425,3.835,2.696
