No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
1264,2012-01-14T11:34:00,2012-01-13T19:09,42,1.2 - 3.5 µm,55.595,1.9303,0.0211,0.1158,0.1705,0.9648,3.2328,0.8624,1.5255,0.1087,0.0073,1.005,0.128,1.132,18816.04,773.29,25.865,26.371,174.592,9753.32,11.676,8.981,25.919,9.59,2.217,2.668,170.373,17.468,152.376,27.039,41.599
1265,2012-01-14T11:34:00,2012-01-13T19:09,42,3.5 - 10 µm,46.633,1.3182,0.0137,0.1126,0.1763,0.9327,2.4325,0.345,1.0248,0.0615,0.0036,0.99,0.419,1.409,2339.25,161.391,3.747,3.918,25.201,1648.08,1.669,1.314,3.407,1.947,<0.003,0.035,21.256,3.736,27.177,4.555,5.474
1266,2012-01-14T19:33:00,2012-01-14T12:09,42,0.05 - 0.14 µm,0.29,0.0101,0.0081,<0.0006,0.0035,0.1857,0.0397,0.0147,0.0479,0.001,<0.0002,0.702,0.036,0.738,9.93,0.189,0.011,0.57,<0.0096,5.68,0.02,0.055,0.359,0.084,0.009,<0.001,0.155,0.029,0.022,<0.0036,<0.006
1267,2012-01-14T19:33:00,2012-01-14T12:09,42,0.14 - 0.42 µm,1.166,0.0038,0.0303,<0.0006,0.0037,0.1978,0.0156,0.0084,0.2261,0.0009,<0.0002,0.312,0,0.312,14.16,1.102,0.466,0.554,0.134,16.03,0.19,0.064,0.438,0.221,0.084,0.017,0.294,0.024,0.04,<0.0036,<0.006
1268,2012-01-14T19:33:00,2012-01-14T12:09,42,0.42 - 1.2 µm,7.998,0.3089,0.0026,0.0145,0.0559,0.4405,0.4948,0.2302,0.509,0.0058,0.0046,0.161,0.25,0.41,149.76,5.467,0.371,0.784,3.161,114.91,0.153,0.124,0.598,0.27,0.144,0.159,2.948,0.101,2.985,<0.0036,0.523
1269,2012-01-14T19:33:00,2012-01-14T12:09,42,1.2 - 3.5 µm,42.176,1.2345,0.0138,0.1287,0.2929,0.7788,2.1829,0.6631,1.1727,0.0365,0.0008,0.757,0.148,0.905,1135.25,30.892,1.349,2.156,16.27,558.81,0.565,0.816,1.165,0.623,<0.003,0.305,17.159,0.744,11.772,<0.0036,2.161
1270,2012-01-14T19:33:00,2012-01-14T12:09,42,3.5 - 10 µm,26.268,2.042,0.0057,0.0855,0.1954,0.9354,3.661,0.2444,1.305,0.0142,0.0019,0.755,0.048,0.803,728.31,87.658,1.914,2.606,14.91,862.98,1.1,4.997,2.127,0.645,0.047,0.033,11.718,1.625,9.882,2.056,2.746
1271,2012-01-15T11:30:00,2012-01-14T19:57,42,0.05 - 0.14 µm,0.347,0.0026,0.0071,0.0006,0.0015,0.0933,0.0185,0.0045,0.0368,0.0008,0.0003,0.175,0.079,0.254,3.58,0.135,0.004,<0.0336,<0.0096,3.12,0.038,<0.048,0.189,0.047,<0.003,<0.001,0.092,<0.0048,<0.0048,<0.0036,<0.006
1272,2012-01-15T11:30:00,2012-01-14T19:57,42,0.14 - 0.42 µm,1.542,0.0097,0.0675,0.0331,0.0036,0.1066,0.0178,0.0069,0.319,0.0078,0.0004,0.085,0.343,0.428,10.37,0.948,0.381,0.566,0.177,13.3,0.157,0.07,0.532,0.243,0.044,0.021,0.235,0.118,<0.0048,<0.0036,<0.006
1273,2012-01-15T11:30:00,2012-01-14T19:57,42,0.42 - 1.2 µm,7.963,0.2497,0.0119,0.0394,0.0417,0.301,0.4077,0.2954,0.4547,0.0187,0.0007,0.328,0.236,0.563,194.98,12.864,0.469,0.807,3.565,176.07,0.212,0.179,0.786,0.309,0.095,0.124,2.823,0.306,4.623,<0.0036,0.694
1274,2012-01-15T11:30:00,2012-01-14T19:57,42,1.2 - 3.5 µm,40.227,0.9445,0.0169,0.1027,0.195,0.8377,1.7033,0.7435,0.8375,0.0783,0.0024,0.708,0.135,0.844,1130.47,61.6,2.138,2.3,15.169,815.56,0.791,0.653,1.778,0.858,<0.003,0.214,14.884,1.388,16.351,1.958,3.093
1275,2012-01-15T11:30:00,2012-01-14T19:57,42,3.5 - 10 µm,25.026,2.1058,0.0096,0.0879,0.1689,0.8781,3.9307,0.4675,1.0852,0.0282,0.0026,0.561,0.247,0.808,284.3,36.118,1.179,0.829,4.463,338.67,0.38,0.283,0.695,0.313,0.657,<0.001,4.114,0.691,5.143,4.127,1.259
